run_id,scenario_id,t,x,y,theta,v,omega,e_line,line_loss_flag,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,obstacle_flag,fault_flag,u_L,u_R,sat_flag_L,sat_flag_R,safety_violation,notes
Demo_S1_final_untuned,S1,0.000,0.0036,0.0829,0.0742,0.3603,1.0452,0.0800,0,0.0423,0.0000,0.0077,0.1056,0.5396,0,0,0.3538,0.5462,0,0,0,
Demo_S1_final_untuned,S1,0.010,0.0072,0.0778,0.0765,0.3607,1.1096,0.0829,0,0.0132,0.0060,0.0345,0.1093,0.4358,0,0,0.3500,0.5500,0,0,0,
Demo_S1_final_untuned,S1,0.020,0.0108,0.0839,0.0873,0.3627,1.1662,0.0778,0,0.0316,0.0254,0.0619,0.1654,0.6072,0,0,0.3559,0.5441,0,0,0,
Demo_S1_final_untuned,S1,0.030,0.0144,0.0799,0.0777,0.3598,1.0701,0.0839,0,0.0000,0.0211,0.0329,0.1056,0.4537,0,0,0.3483,0.5517,0,0,0,
Demo_S1_final_untuned,S1,0.040,0.0180,0.0720,0.1060,0.3610,1.0985,0.0799,0,0.0359,0.0000,0.0141,0.1357,0.5495,0,0,0.3529,0.5471,0,0,0,
Demo_S1_final_untuned,S1,0.050,0.0216,0.0681,0.1151,0.3617,1.0475,0.0720,0,0.0138,0.0027,0.0625,0.2294,0.7326,0,0,0.3621,0.5379,0,0,0,
Demo_S1_final_untuned,S1,0.060,0.0252,0.0736,0.1266,0.3630,1.0861,0.0681,0,0.0161,0.0000,0.0603,0.3044,0.8570,0,0,0.3667,0.5333,0,0,0,
Demo_S1_final_untuned,S1,0.070,0.0288,0.0717,0.1419,0.3646,1.2306,0.0736,0,0.0000,0.0000,0.0536,0.2315,0.7024,0,0,0.3598,0.5402,0,0,0,
Demo_S1_final_untuned,S1,0.080,0.0324,0.0758,0.1630,0.3615,1.0383,0.0717,0,0.0000,0.0178,0.0771,0.2655,0.8098,0,0,0.3619,0.5381,0,0,0,
Demo_S1_final_untuned,S1,0.090,0.0359,0.0821,0.1721,0.3590,0.9289,0.0758,0,0.0000,0.0122,0.0250,0.1619,0.6276,0,0,0.3568,0.5432,0,0,0,
Demo_S1_final_untuned,S1,0.100,0.0395,0.0827,0.1805,0.3629,1.2383,0.0821,0,0.0326,0.0022,0.0000,0.1249,0.4769,0,0,0.3490,0.5510,0,0,0,
Demo_S1_final_untuned,S1,0.110,0.0431,0.0883,0.1804,0.3606,1.1219,0.0827,0,0.0039,0.0000,0.0198,0.1240,0.4761,0,0,0.3480,0.5520,0,0,0,
Demo_S1_final_untuned,S1,0.120,0.0466,0.0865,0.1976,0.3637,1.3547,0.0883,0,0.0000,0.0169,0.0373,0.0442,0.2963,0,0,0.3409,0.5591,0,0,0,
